run,is_portfolio,mode,task,signal_source,price,stop_loss,take_profit,trailing_stop,trailing_atr_mult,atr_window,stop_priority,cost_bps,slippage_bps,execution_delay,vol_target,vol_lookback,max_leverage,portfolio_weighting,weight_lookback,model,input,long_only,uses_proba_signal,uses_stop_loss,uses_take_profit,uses_trailing_stop,uses_trailing_atr,uses_vol_target,uses_hmm,uses_fft,uses_dmd,uses_neural_net,t_n_trades,t_n_wins,t_n_losses,t_n_breakeven,t_win_rate,t_win_loss_ratio,t_avg_win,t_avg_loss,t_profit_factor,t_expectancy,t_median_trade_return,run_dir,asset,m_start,m_end,m_n_bars,m_total_return,m_cagr,m_max_drawdown,m_ann_factor,m_sharpe,m_avg_bar_return,m_vol_bar,m_turnover_sum,m_n_position_changes,feature_combo
bt_eurusd_hmmcmp_EURUSD=X_hgb_baseline,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,hgb,outputs_eurusd_1y_1d\EURUSD=X_1y_1d.csv,False,False,False,False,False,False,False,False,False,False,False,6,3.0,3.0,0.0,0.5,1.0,0.0033137180176398737,-0.0018406872829251908,1.8002612656582089,0.0007365153673573414,0.0004946067970613699,bt_eurusd_hmmcmp_EURUSD=X_hgb_baseline,EURUSD=X,2025-01-22 00:00:00,2026-01-14 00:00:00,254,-0.030287898815645753,-0.03097687600038246,-0.03340443645340918,259.8697478991597,-1.3980302495543233,-0.00012011968995729589,0.0013850820359850484,13.0,11,hgb
bt_eurusd_hmmcmp_EURUSD=X_hgb_hmm,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_eurusd_1y_1d\EURUSD=X_1y_1d.csv,False,False,False,False,False,False,True,True,False,False,False,35,13.0,22.0,0.0,0.37142857142857144,0.5909090909090909,0.0019644215140853707,-0.0021318985808098452,0.5444886269446715,-0.0006104082598487651,-0.0007814713990055289,bt_eurusd_hmmcmp_EURUSD=X_hgb_hmm,EURUSD=X,2025-01-22 00:00:00,2026-01-14 00:00:00,254,-0.08289786284570522,-0.0847300432808713,-0.08289786284570522,259.8697478991597,-2.6246575256041216,-0.0003384727969111484,0.0020788779340050216,166.12580262600628,70,hgb+hmm+vol_target
bt_eurusd_sweep_EURUSD=X_hgb_baseline,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_hgb_baseline,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.006967854379785088,0.1221887874913632,-0.0004829730719132508,265.6363636363636,7.7335728893380455,0.000434493557326425,0.0009156867314719397,1.0,1,hgb
bt_eurusd_sweep_EURUSD=X_hgb_dmd,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,True,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_hgb_dmd,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,hgb+dmd+vol_target
bt_eurusd_sweep_EURUSD=X_hgb_fft,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,True,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_hgb_fft,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,hgb+fft+vol_target
bt_eurusd_sweep_EURUSD=X_hgb_hmm,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,False,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_hgb_hmm,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,hgb+hmm+vol_target
bt_eurusd_sweep_EURUSD=X_hgb_hmm_fft_dmd,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,True,True,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_hgb_hmm_fft_dmd,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,hgb+hmm+fft+dmd+vol_target
bt_eurusd_sweep_EURUSD=X_hgb_proba_hmm_fft,False,long_short,classification,proba,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,True,False,False,False,False,True,True,True,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_hgb_proba_hmm_fft,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,hgb+proba+hmm+fft+vol_target
bt_eurusd_sweep_EURUSD=X_hgb_stops,False,long_short,classification,predict,,0.01,0.02,,,,,5.0,0.0,1,,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,True,True,False,False,False,False,False,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_hgb_stops,EURUSD=X,2025-12-17 00:00:00,2026-01-07 00:00:00,15,0.005260036136943702,0.0955398822598188,-0.0008064168801655835,260.89285714285717,5.19350779988066,0.00035040407760653336,0.0010897815665336073,1.0,1,hgb+stop+tp
bt_eurusd_sweep_EURUSD=X_hgb_voltarget,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_hgb_voltarget,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,hgb+vol_target
bt_eurusd_sweep_EURUSD=X_mlp_baseline,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,False,False,False,False,True,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_mlp_baseline,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.006967854379785088,0.1221887874913632,-0.0004829730719132508,265.6363636363636,7.7335728893380455,0.000434493557326425,0.0009156867314719397,1.0,1,mlp+nn
bt_eurusd_sweep_EURUSD=X_mlp_dmd,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,True,True,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_mlp_dmd,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,mlp+dmd+nn+vol_target
bt_eurusd_sweep_EURUSD=X_mlp_fft,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,True,False,True,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_mlp_fft,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,mlp+fft+nn+vol_target
bt_eurusd_sweep_EURUSD=X_mlp_hmm,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,False,False,True,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_mlp_hmm,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,mlp+hmm+nn+vol_target
bt_eurusd_sweep_EURUSD=X_mlp_hmm_fft_dmd,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,True,True,True,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_mlp_hmm_fft_dmd,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,mlp+hmm+fft+dmd+nn+vol_target
bt_eurusd_sweep_EURUSD=X_mlp_proba_hmm_fft,False,long_short,classification,proba,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,True,False,False,False,False,True,True,True,False,True,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_mlp_proba_hmm_fft,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,mlp+proba+hmm+fft+nn+vol_target
bt_eurusd_sweep_EURUSD=X_mlp_stops,False,long_short,classification,predict,,0.01,0.02,,,,,5.0,0.0,1,,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,True,True,False,False,False,False,False,False,True,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_mlp_stops,EURUSD=X,2025-12-17 00:00:00,2026-01-07 00:00:00,15,0.005260036136943702,0.0955398822598188,-0.0008064168801655835,260.89285714285717,5.19350779988066,0.00035040407760653336,0.0010897815665336073,1.0,1,mlp+nn+stop+tp
bt_eurusd_sweep_EURUSD=X_mlp_voltarget,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,False,True,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_mlp_voltarget,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,mlp+nn+vol_target
bt_eurusd_sweep_EURUSD=X_rf_baseline,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,False,False,False,False,False,4,1.0,3.0,0.0,0.25,0.3333333333333333,0.000923961398946016,-0.0017246738654541998,0.1785770278955875,-0.0010625150493541458,-0.0012814832114447228,bt_eurusd_sweep_EURUSD=X_rf_baseline,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,-0.001915234353672024,-0.031326560467,-0.003564915324373308,265.6363636363636,-2.272446311897174,-0.00011944274212602502,0.0008566627774329345,9.0,5,rf
bt_eurusd_sweep_EURUSD=X_rf_dmd,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,True,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_rf_dmd,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,rf+dmd+vol_target
bt_eurusd_sweep_EURUSD=X_rf_fft,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,True,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_rf_fft,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,rf+fft+vol_target
bt_eurusd_sweep_EURUSD=X_rf_hmm,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,False,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_rf_hmm,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,rf+hmm+vol_target
bt_eurusd_sweep_EURUSD=X_rf_hmm_fft_dmd,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,True,True,True,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_rf_hmm_fft_dmd,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,rf+hmm+fft+dmd+vol_target
bt_eurusd_sweep_EURUSD=X_rf_proba_hmm_fft,False,long_short,classification,proba,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,True,False,False,False,False,True,True,True,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_rf_proba_hmm_fft,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,rf+proba+hmm+fft+vol_target
bt_eurusd_sweep_EURUSD=X_rf_stops,False,long_short,classification,predict,,0.01,0.02,,,,,5.0,0.0,1,,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,True,True,False,False,False,False,False,False,False,4,4.0,0.0,0.0,1.0,inf,0.0017493914272979638,,inf,0.0017493914272979638,0.0017830407953753902,bt_eurusd_sweep_EURUSD=X_rf_stops,EURUSD=X,2025-12-17 00:00:00,2026-01-07 00:00:00,15,0.0015862060242926024,0.02795027706062303,-0.0019068820368913775,260.89285714285717,1.9729777612630257,0.00010604557815336667,0.0008681633913577258,9.0,5,rf+stop+tp
bt_eurusd_sweep_EURUSD=X_rf_voltarget,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,True,False,False,False,False,0,0.0,0.0,0.0,,,,,,,,bt_eurusd_sweep_EURUSD=X_rf_voltarget,EURUSD=X,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.0,0.0,0.0,265.6363636363636,,0.0,0.0,0.0,0,rf+vol_target
bt_multi_invvol_voltarget,True,long_short,classification,predict,close,,,,,,,5.0,0.0,1,0.25,20.0,2.0,inverse_vol,30.0,smoke_ml_multi_alloc_smoke\model.joblib,,False,False,False,False,False,False,True,False,False,False,False,324,,,,0.6431958885775546,,,,4.170012899805747,,,bt_multi_invvol_voltarget,EURUSD=X,2025-07-14 00:00:00,2026-01-09 00:00:00,129,0.0881806228584218,0.1881970476164671,-0.0370052468216683,,2.78352624310653,0.0006657406403189,0.0045709330629167,76.0,37,smoke_ml_multi_alloc_smoke\model.joblib+vol_target
bt_multi_stops_invvol,True,long_short,classification,predict,close,0.04,0.08,,,,conservative,5.0,0.0,1,,20.0,3.0,inverse_vol,30.0,smoke_ml_multi_alloc_smoke\model.joblib,,False,False,True,True,False,False,False,False,False,False,False,130,,,,0.6985569985569985,,,,10.89907113867996,,,bt_multi_stops_invvol,EURUSD=X,2025-07-14 00:00:00,2026-01-08 00:00:00,128,0.081024275288174,0.1733543715055252,-0.0185897732374636,,3.732703806823629,0.0006137687253436,0.0031425076079294,43.0,41,smoke_ml_multi_alloc_smoke\model.joblib+stop+tp
bt_smoke_multi,True,long_short,classification,,,,,,,,,5.0,0.0,1,,,,,,smoke_ml_multi_alloc_smoke\model.joblib,,False,False,False,False,False,False,False,False,False,False,False,88,,,,0.7595811051693405,,,,17.955145159875737,,,bt_smoke_multi,EURUSD=X,2025-07-14 00:00:00,2026-01-09 00:00:00,129,0.0816837097188252,0.1737665678396227,-0.0186239856639477,,3.944363237752152,0.0006132601658744,0.002971412636915,44.0,42,smoke_ml_multi_alloc_smoke\model.joblib
